,date_time,week,number_of_sales,gross_sales
0,2020-12-28 8:56:00,1,1,464.8717247217199
1,2020-12-28 9:02:00,1,1,1098.3820562287876
2,2020-12-28 10:30:00,1,1,639.274677660742
3,2020-12-28 11:33:00,1,1,496.49895804205175
4,2020-12-28 14:09:00,1,1,421.3860782261834
5,2020-12-28 17:59:00,1,1,1780.0314573450878
6,2020-12-28 18:07:00,1,1,282.3619898327247
7,2020-12-28 18:15:00,1,1,633.9860645995687
8,2020-12-29 10:16:00,1,1,114.01074807019869
9,2020-12-29 10:22:00,1,1,2886.315609108309
10,2020-12-29 10:31:00,1,1,233.023867083571
11,2020-12-29 12:02:00,1,1,673.4039510471849
12,2020-12-29 12:36:00,1,1,979.7522458669811
13,2020-12-29 12:39:00,1,1,3230.49119608705
14,2020-12-29 12:43:00,1,1,859.1067748455363
15,2020-12-29 13:31:00,1,1,932.8904026223474
16,2020-12-29 14:33:00,1,1,1270.3678903472346
17,2020-12-29 16:18:00,1,1,83.04015772094228
18,2020-12-29 17:08:00,1,1,954.8897205171552
19,2020-12-29 17:22:00,1,1,271.0940408573294
20,2020-12-29 18:05:00,1,1,320.378359688287
21,2020-12-29 20:47:00,1,1,472.7388056731492
22,2020-12-29 20:49:00,1,1,795.866673607504
23,2020-12-30 11:30:00,1,1,1053.0218600263586
24,2020-12-30 11:32:00,1,1,68.77077272492077
25,2020-12-30 11:37:00,1,1,347.4445940397744
26,2020-12-30 12:02:00,1,1,695.5148269496474
27,2020-12-30 15:23:00,1,1,2955.0053959736033
28,2020-12-30 15:40:00,1,1,401.76417029196494
29,2020-12-30 16:55:00,1,1,410.31914225938516
30,2020-12-30 16:59:00,1,1,464.8440488657633
31,2020-12-30 17:09:00,1,1,685.6143069972475
32,2020-12-30 17:49:00,1,1,131.53684492172678
33,2020-12-30 18:06:00,1,1,248.05060490494236
34,2020-12-31 14:28:00,1,1,1583.7410953429287
35,2020-12-31 14:53:00,1,1,133.54765598502948
36,2020-12-31 14:56:00,1,1,75.34133583215424
